e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
38,Nunspeet,NUNSPEET,municipality,5.793148617,52.33930788,7,10,15,NL.GE.NU,nunspeet,gadm,shape,3,nl,,,,21093,,
39,Oldebroek,OLDEBROEK,municipality,5.944876312,52.45687319,7,10,15,NL.GE.OL,oldebroek,gadm,shape,3,nl,,,,16112,,
40,Overbetuwe,OVERBETUWE,municipality,5.78516622,51.92522742,7,10,15,NL.GE.OV,overbetuwe,gadm,shape,3,nl,,,,18691,,
41,Putten,PUTTEN,municipality,5.590409091,52.24357626,7,10,15,NL.GE.PU,putten,gadm,shape,3,nl,,,,13929,,
42,Renkum,RENKUM,municipality,5.792146343,51.99040321,7,10,15,NL.GE.RE,renkum,gadm,shape,3,nl,,,,7670,,
43,Rheden,RHEDEN,municipality,6.059203279,52.03454112,7,10,15,NL.GE.RH,rheden,gadm,shape,3,nl,,,,13724,,
44,Rijnwaarden,RIJNWAARDEN,municipality,6.089691924,51.88011585,7,10,15,NL.GE.RI,rijnwaarden,gadm,shape,3,nl,,,,6786,,
45,Rozendaal,ROZENDAAL,municipality,5.975373462,52.04322426,7,10,15,NL.GE.RO,rozendaal,gadm,shape,3,nl,,,,4490,,
46,Ruurlo,RUURLO,municipality,6.479164353,52.06027834,7,10,15,NL.GE.RU,ruurlo,gadm,shape,3,nl,,,,10573,,
47,Scherpenzeel,SCHERPENZEEL,municipality,5.506049868,52.08962788,7,10,15,NL.GE.SC,scherpenzeel,gadm,shape,3,nl,,,,2280,,
48,Steenderen,STEENDEREN,municipality,6.210207062,52.0602874,7,10,15,NL.GE.ST,steenderen,gadm,shape,3,nl,,,,8202,,
49,Tiel,TIEL,municipality,5.411388397,51.88514104,7,10,15,NL.GE.TI,tiel,gadm,shape,3,nl,,,,5661,,
50,Ubbergen,UBBERGEN,municipality,5.957830529,51.84728204,7,10,15,NL.GE.UB,ubbergen,gadm,shape,3,nl,,,,6790,,
51,Voorst,VOORST,municipality,6.107124508,52.22611238,7,10,15,NL.GE.VS,voorst,gadm,shape,3,nl,,,,20545,,
52,Vorden,VORDEN,municipality,6.335710307,52.10145567,7,10,15,NL.GE.VD,vorden,gadm,shape,3,nl,,,,11144,,
53,Wageningen,WAGENINGEN,municipality,5.670054445,51.97419157,7,10,15,NL.GE.WN,wageningen,gadm,shape,3,nl,,,,5269,,
54,Warnsveld,WARNSVELD,municipality,6.282479481,52.13876781,7,10,15,NL.GE.WR,warnsveld,gadm,shape,3,nl,,,,2705,,
55,Wehl,WEHL,municipality,6.210408962,51.96289628,7,10,15,NL.GE.WL,wehl,gadm,shape,3,nl,,,,3822,,
56,West Maas en Waal,WEST MAAS EN WAAL,municipality,5.502892092,51.85237579,7,10,15,NL.GE.WM,west-maas-en-waal,gadm,shape,3,nl,,,,13846,,
57,Westervoort,WESTERVOORT,municipality,5.979138722,51.95864291,7,10,15,NL.GE.WV,westervoort,gadm,shape,3,nl,,,,1307,,
58,Wijchen,WIJCHEN,municipality,5.70870047,51.81765175,7,10,15,NL.GE.WC,wijchen,gadm,shape,3,nl,,,,11237,,
59,Winterswijk,WINTERSWIJK,municipality,6.735253456,51.97045064,7,10,15,NL.GE.WW,winterswijk,gadm,shape,3,nl,,,,22186,,
60,Wisch,WISCH,municipality,6.445386447,51.93471949,7,10,15,NL.GE.WS,wisch,gadm,shape,3,nl,,,,11750,,
61,Zaltbommel,ZALTBOMMEL,municipality,5.163733666,51.79287657,7,10,15,NL.GE.ZA,zaltbommel,gadm,shape,3,nl,,,,14458,,
62,Zelhem,ZELHEM,municipality,6.390043317,52.00538721,7,10,15,NL.GE.ZL,zelhem,gadm,shape,3,nl,,,,13315,,
63,Zevenaar,ZEVENAAR,municipality,6.092200288,51.92824248,7,10,15,NL.GE.ZV,zevenaar,gadm,shape,3,nl,,,,4475,,
64,Zutphen,ZUTPHEN,municipality,6.216608606,52.13564974,7,10,15,NL.GE.ZU,zutphen,gadm,shape,3,nl,,,,4165,,
65,Appingedam,APPINGEDAM,municipality,6.859161604,53.31678784,7,10,15,NL.GR.AP,appingedam,gadm,shape,3,nl,,,,4130,,
66,Bedum,BEDUM,municipality,6.605574851,53.29443311,7,10,15,NL.GR.BD,bedum,gadm,shape,3,nl,,,,7576,,
67,Bellingwedde,BELLINGWEDDE,municipality,7.153166168,53.09629036,7,10,15,NL.GR.BL,bellingwedde,gadm,shape,3,nl,,,,22026,,
68,Drenthe,DRENTHE,province,6.625179798,52.86318343,4,8,9,NL.DR,drenthe,gadm,shape,2,nl,,,,441382,,
69,De Marne,DE MARNE,municipality,6.360208555,53.37516832,6,10,15,NL.GR.DM,de-marne,gadm,shape,3,nl,,,,31789,,
70,Delfzijl,DELFZIJL,municipality,6.937225413,53.31815112,7,10,15,NL.GR.DE,delfzijl,gadm,shape,3,nl,,,,20987,,
71,Eemsmond,EEMSMOND,municipality,6.681022283,53.41835357,6,10,15,NL.GR.EE,eemsmond,gadm,shape,3,nl,,,,31447,,
72,Groningen,GRONINGEN,municipality,6.572026205,53.22174606,7,10,15,NL.GR.GR,groningen-municipality,gadm,shape,3,nl,,,,13976,,
73,Grootegast,GROOTEGAST,municipality,6.280730497,53.20800118,7,10,15,NL.GR.GT,grootegast,gadm,shape,3,nl,,,,14703,,
74,Haren,HAREN,municipality,6.639645228,53.15423605,7,10,15,NL.GR.HA,haren,gadm,shape,3,nl,,,,8450,,
75,Hoogezand-Sappemeer,HOOGEZAND-SAPPEMEER,municipality,6.755923786,53.14717582,7,10,15,NL.GR.HS,hoogezand-sappemeer,gadm,shape,3,nl,,,,12266,,
76,Leek,LEEK,municipality,6.377093256,53.16291406,7,10,15,NL.GR.LE,leek,gadm,shape,3,nl,,,,10686,,
77,Loppersum,LOPPERSUM,municipality,6.737283005,53.34043485,7,10,15,NL.GR.LO,loppersum,gadm,shape,3,nl,,,,18751,,
78,Marum,MARUM,municipality,6.284157776,53.14901332,7,10,15,NL.GR.MA,marum,gadm,shape,3,nl,,,,10787,,
79,Menterwolde,MENTERWOLDE,municipality,6.888296526,53.1665414,7,10,15,NL.GR.ME,menterwolde,gadm,shape,3,nl,,,,13650,,
80,Pekela,PEKELA,municipality,6.984197786,53.07107446,7,10,15,NL.GR.PE,pekela,gadm,shape,3,nl,,,,8448,,
81,Reiderland,REIDERLAND,municipality,7.173738632,53.19478527,7,10,15,NL.GR.RE,reiderland,gadm,shape,3,nl,,,,22688,,
82,Scheemda,SCHEEMDA,municipality,7.001997968,53.20044324,7,10,15,NL.GR.SC,scheemda,gadm,shape,3,nl,,,,19842,,
83,Slochteren,SLOCHTEREN,municipality,6.793837485,53.23555689,6,10,15,NL.GR.SL,slochteren,gadm,shape,3,nl,,,,26535,,
84,Stadskanaal,STADSKANAAL,municipality,7.024063823,53.00188741,7,10,15,NL.GR.ST,stadskanaal,gadm,shape,3,nl,,,,21257,,
85,Ten Boer,TEN BOER,municipality,6.700604719,53.27853466,7,10,15,NL.GR.TB,ten-boer,gadm,shape,3,nl,,,,7665,,
86,Veendam,VEENDAM,municipality,6.890005102,53.08880006,7,10,15,NL.GR.VE,veendam,gadm,shape,3,nl,,,,13073,,
87,Vlagtwedde,VLAGTWEDDE,municipality,7.143262965,52.9580183,6,10,15,NL.GR.VL,vlagtwedde,gadm,shape,3,nl,,,,33962,,
