t,en,nl
t1,Regions,Regio's
t2,Activities,Activiteiten
t3,Places to visit,Plekken om te bezoeken
t4,Places to eat,Plekken om te eten
t5,Sights,Bezienswaardigheden
t6,Nightspots,Uitgaansgelegenheden
t7,Shops,Winkels
